iter	Passed	Remaining
360	2454	4345
361	2462	4340
362	2469	4333
363	2476	4327
364	2482	4318
365	2488	4310
366	2494	4302
367	2501	4295
368	2506	4286
369	2512	4278
370	2521	4274
371	2529	4270
372	2537	4265
373	2544	4259
374	2552	4253
375	2560	4248
376	2566	4241
377	2576	4239
378	2582	4231
379	2588	4223
380	2595	4216
381	2601	4208
382	2608	4201
383	2615	4195
384	2622	4188
385	2627	4179
386	2634	4172
387	2641	4165
388	2646	4157
389	2653	4150
390	2659	4142
391	2667	4137
392	2672	4128
393	2679	4120
394	2684	4112
395	2691	4104
396	2698	4098
397	2704	4090
398	2710	4082
399	2718	4077
400	2725	4071
401	2732	4065
402	2740	4059
403	2747	4053
404	2753	4044
405	2759	4037
406	2765	4029
407	2772	4022
408	2777	4014
409	2784	4006
410	2790	3999
411	2798	3993
412	2805	3987
413	2813	3981
414	2820	3975
415	2827	3968
416	2833	3961
417	2839	3954
418	2847	3947
419	2853	3940
420	2859	3932
421	2865	3924
422	2872	3917
423	2878	3910
424	2885	3903
425	2892	3898
426	2899	3891
427	2905	3883
428	2912	3876
429	2919	3869
430	2925	3861
431	2931	3854
432	2938	3848
433	2945	3841
434	2952	3834
435	2959	3828
436	2965	3819
437	2970	3811
438	2978	3805
439	2984	3798
440	2990	3790
441	2997	3784
442	3004	3777
443	3010	3770
444	3017	3762
445	3023	3755
446	3030	3749
447	3037	3742
448	3043	3734
449	3049	3727
450	3058	3722
451	3066	3717
452	3073	3710
453	3080	3704
454	3087	3698
455	3095	3692
456	3101	3684
457	3108	3678
458	3113	3670
459	3120	3662
460	3126	3655
461	3134	3649
462	3140	3642
463	3147	3635
464	3154	3629
465	3160	3622
466	3166	3613
467	3173	3607
468	3180	3601
469	3187	3594
470	3194	3588
471	3202	3582
472	3207	3574
473	3214	3567
474	3220	3559
475	3227	3553
476	3234	3546
477	3239	3537
478	3244	3529
479	3250	3521
480	3256	3513
481	3264	3507
482	3269	3499
483	3275	3492
484	3280	3483
485	3288	3477
486	3296	3472
487	3302	3465
488	3309	3458
489	3315	3451
490	3322	3444
491	3330	3438
492	3336	3431
493	3343	3424
494	3350	3418
495	3356	3410
496	3361	3402
497	3368	3395
498	3374	3387
499	3381	3381
500	3389	3376
501	3395	3368
502	3403	3363
503	3410	3355
504	3416	3348
505	3422	3341
506	3428	3334
507	3435	3326
508	3442	3320
509	3447	3312
510	3454	3305
511	3460	3298
512	3466	3290
513	3472	3283
514	3478	3276
515	3485	3269
516	3491	3261
517	3499	3256
518	3505	3248
519	3512	3241
520	3518	3234
521	3526	3229
522	3532	3221
523	3539	3214
524	3545	3207
525	3552	3201
526	3557	3193
527	3564	3186
528	3571	3180
529	3577	3172
530	3586	3167
531	3592	3160
532	3598	3152
533	3603	3144
534	3608	3136
535	3614	3129
536	3620	3121
537	3627	3115
538	3634	3108
539	3640	3100
540	3647	3094
541	3653	3087
542	3659	3080
543	3666	3073
544	3671	3064
545	3678	3058
546	3685	3052
547	3692	3045
548	3698	3037
549	3704	3030
550	3710	3023
551	3716	3016
552	3723	3009
553	3729	3002
554	3737	2996
555	3742	2988
556	3749	2982
557	3756	2975
558	3762	2968
559	3770	2962
560	3777	2956
561	3784	2949
562	3789	2941
563	3797	2935
564	3805	2929
565	3811	2922
566	3817	2915
567	3824	2908
568	3830	2901
569	3837	2894
570	3845	2888
571	3852	2882
572	3860	2876
573	3866	2869
574	3873	2863
575	3881	2857
576	3888	2850
577	3894	2843
578	3901	2836
579	3908	2830
580	3916	2824
581	3923	2818
582	3929	2810
583	3936	2804
584	3942	2797
585	3949	2790
586	3957	2784
587	3965	2778
588	3972	2772
589	3981	2766
590	3990	2761
591	3998	2755
592	4005	2749
593	4013	2742
594	4022	2738
595	4032	2733
596	4042	2728
597	4048	2721
598	4055	2714
599	4062	2708
600	4070	2702
601	4080	2697
602	4090	2692
603	4098	2686
604	4106	2680
605	4113	2674
606	4121	2668
607	4128	2662
608	4135	2655
609	4140	2647
610	4147	2640
611	4155	2634
612	4161	2627
613	4168	2620
614	4174	2613
615	4183	2607
616	4190	2601
617	4197	2594
618	4203	2587
619	4211	2581
620	4217	2574
621	4224	2567
622	4231	2560
623	4238	2553
624	4246	2547
625	4253	2541
626	4260	2534
627	4267	2528
628	4274	2521
629	4282	2514
630	4288	2507
631	4294	2500
632	4302	2494
633	4308	2487
634	4317	2481
635	4324	2474
636	4332	2468
637	4339	2462
638	4345	2455
639	4351	2447
640	4358	2441
641	4366	2434
642	4371	2427
643	4378	2420
644	4384	2413
645	4391	2406
646	4398	2399
647	4405	2392
648	4412	2386
649	4419	2379
650	4426	2372
651	4433	2366
652	4440	2359
653	4446	2352
654	4454	2346
655	4461	2339
656	4468	2332
657	4475	2326
658	4481	2318
659	4488	2312
660	4493	2304
661	4499	2297
662	4507	2291
663	4514	2284
664	4522	2278
665	4529	2271
666	4537	2265
667	4545	2259
668	4552	2252
669	4558	2245
670	4566	2238
671	4574	2232
672	4580	2225
673	4588	2219
674	4594	2212
675	4601	2205
676	4609	2199
677	4617	2193
678	4624	2186
679	4633	2180
680	4641	2174
681	4649	2167
682	4658	2162
683	4666	2156
684	4675	2149
685	4683	2143
686	4690	2136
687	4698	2130
688	4705	2124
689	4712	2117
690	4719	2110
691	4727	2104
692	4734	2097
693	4743	2091
694	4752	2085
695	4760	2079
696	4768	2073
697	4776	2066
698	4785	2060
699	4794	2054
700	4801	2047
701	4808	2041
702	4814	2034
703	4822	2027
704	4830	2021
705	4837	2014
706	4845	2007
707	4852	2001
708	4860	1995
709	4869	1989
710	4878	1982
711	4884	1975
712	4891	1968
713	4897	1961
714	4905	1955
715	4911	1948
716	4918	1941
717	4925	1934
718	4931	1927
719	4938	1920
720	4945	1913
721	4952	1906
722	4960	1900
723	4967	1893
724	4975	1887
725	4982	1880
726	4989	1873
727	4996	1866
728	5003	1860
729	5009	1852
730	5016	1845
731	5023	1839
732	5029	1832
733	5037	1825
734	5046	1819
735	5053	1812
736	5061	1806
737	5070	1799
738	5077	1793
739	5084	1786
740	5093	1780
741	5100	1773
742	5108	1766
743	5116	1760
744	5124	1754
745	5131	1747
746	5138	1740
747	5147	1734
748	5154	1727
749	5162	1720
750	5171	1714
751	5178	1707
752	5185	1701
753	5194	1694
754	5203	1688
755	5210	1681
756	5217	1674
757	5224	1668
758	5232	1661
759	5239	1654
760	5248	1648
761	5255	1641
762	5262	1634
763	5269	1627
764	5275	1620
765	5282	1613
766	5288	1606
767	5294	1599
768	5300	1592
769	5306	1585
770	5312	1578
771	5319	1571
772	5326	1564
773	5333	1557
774	5341	1550
775	5349	1544
776	5355	1537
777	5363	1530
778	5370	1523
779	5377	1516
780	5385	1510
781	5394	1503
782	5401	1496
783	5409	1490
784	5415	1483
785	5421	1476
786	5427	1468
787	5433	1461
788	5441	1455
789	5448	1448
790	5455	1441
791	5463	1434
792	5469	1427
793	5476	1420
794	5482	1413
795	5490	1407
796	5497	1400
797	5506	1393
798	5514	1387
799	5521	1380
800	5530	1373
801	5539	1367
802	5546	1360
803	5554	1354
804	5561	1347
805	5568	1340
806	5576	1333
807	5583	1326
808	5590	1319
809	5598	1313
810	5606	1306
811	5613	1299
812	5620	1292
813	5628	1286
814	5636	1279
815	5644	1272
816	5651	1265
817	5658	1259
818	5665	1252
819	5673	1245
820	5681	1238
821	5689	1232
822	5696	1225
823	5705	1218
824	5712	1211
825	5721	1205
826	5730	1198
827	5737	1191
828	5745	1185
829	5752	1178
830	5761	1171
831	5770	1165
832	5777	1158
833	5783	1151
834	5790	1144
835	5799	1137
836	5808	1131
837	5816	1124
838	5823	1117
839	5832	1110
840	5839	1104
841	5846	1097
842	5853	1090
843	5860	1083
844	5868	1076
845	5875	1069
846	5883	1062
847	5891	1056
848	5899	1049
849	5906	1042
850	5912	1035
851	5919	1028
852	5924	1021
853	5931	1014
854	5937	1006
855	5944	999
856	5950	992
857	5960	986
858	5968	979
859	5976	972
860	5982	965
861	5991	959
862	5999	952
863	6005	945
864	6013	938
865	6020	931
866	6029	924
867	6037	918
868	6045	911
869	6053	904
870	6062	897
871	6069	890
872	6078	884
873	6086	877
874	6093	870
875	6099	863
876	6108	856
877	6116	849
878	6122	842
879	6131	836
880	6138	829
881	6145	822
882	6151	815
883	6159	808
884	6166	801
885	6175	794
886	6182	787
887	6189	780
888	6196	773
889	6204	766
890	6211	759
891	6217	752
892	6224	745
893	6231	738
894	6239	732
895	6248	725
896	6254	718
897	6262	711
898	6271	704
899	6279	697
900	6287	690
901	6294	683
902	6300	676
903	6307	669
904	6315	662
905	6321	655
906	6330	649
907	6337	642
908	6344	635
909	6351	628
910	6357	621
911	6363	614
912	6369	606
913	6377	600
914	6385	593
915	6393	586
916	6401	579
917	6408	572
918	6415	565
919	6424	558
920	6431	551
921	6438	544
922	6447	537
923	6453	530
924	6461	523
925	6469	517
926	6477	510
927	6484	503
928	6490	496
929	6499	489
930	6508	482
931	6515	475
932	6522	468
933	6528	461
934	6536	454
935	6545	447
936	6553	440
937	6562	433
938	6570	426
939	6578	419
940	6588	413
941	6595	406
942	6604	399
943	6613	392
944	6620	385
945	6627	378
946	6636	371
947	6644	364
948	6658	357
949	6669	351
950	6680	344
951	6688	337
952	6696	330
953	6703	323
954	6710	316
955	6716	309
956	6725	302
957	6733	295
958	6739	288
959	6747	281
960	6756	274
961	6764	267
962	6771	260
963	6779	253
964	6786	246
965	6793	239
966	6800	232
967	6809	225
968	6816	218
969	6823	211
970	6831	204
971	6838	196
972	6844	189
973	6850	182
974	6858	175
975	6866	168
976	6874	161
977	6881	154
978	6887	147
979	6893	140
980	6900	133
981	6909	126
982	6915	119
983	6923	112
984	6930	105
985	6936	98
986	6945	91
987	6954	84
988	6963	77
989	6970	70
990	6977	63
991	6984	56
992	6994	49
993	7000	42
994	7007	35
995	7014	28
996	7021	21
997	7028	14
998	7035	7
999	7044	0
