iter	Logloss
0	0.6691628523
1	0.6478112555
2	0.6286339232
3	0.6116961458
4	0.5966519281
5	0.5830800346
6	0.5712716878
7	0.5606645443
8	0.5512913542
9	0.5428596041
10	0.535747881
11	0.5290191239
12	0.5228378589
13	0.5174548805
14	0.51270868
15	0.5083196575
16	0.5044076646
17	0.5010338822
18	0.4979799168
19	0.4956354377
20	0.4931515839
21	0.4908157309
22	0.4887403782
23	0.4869182918
24	0.4852641405
25	0.4837482148
26	0.4823430699
27	0.481206374
28	0.4800630325
29	0.4791528632
30	0.4782793333
31	0.4776819448
32	0.4769124241
33	0.4761984015
34	0.4756936356
35	0.47511048
36	0.4746197301
37	0.4740855502
38	0.4737056554
39	0.4732920384
40	0.472990816
41	0.4726755299
42	0.472479426
43	0.4721632659
44	0.4719991534
45	0.4716784698
46	0.4714390823
47	0.4712539128
48	0.471035578
49	0.4708676234
50	0.4706824069
51	0.4705276897
52	0.4702997626
53	0.4701938463
54	0.4700484703
55	0.4699288691
56	0.4697879972
57	0.4696702024
58	0.4694669559
59	0.4693842903
60	0.4692820477
61	0.4691902149
62	0.4690973892
63	0.4689632555
64	0.4688714749
65	0.4687677996
66	0.468702632
67	0.468636912
68	0.4685382778
69	0.4684438407
70	0.4683569974
71	0.4682793562
72	0.4682216087
73	0.4681410709
74	0.4680640519
75	0.4679862554
76	0.4678604134
77	0.467743848
78	0.4676999828
79	0.4676277058
80	0.467493196
81	0.4674350305
82	0.4673066952
83	0.4671763192
84	0.4671346789
85	0.4670201213
86	0.4669807217
87	0.4669118678
88	0.4668741159
89	0.4667793455
90	0.4666781871
91	0.4666214525
92	0.4665437549
93	0.4665078422
94	0.4664880992
95	0.4664479367
96	0.466406949
97	0.4663337826
98	0.4662832373
99	0.4662322629
100	0.4659793854
101	0.4659483951
102	0.4658772469
103	0.4658403856
104	0.4657660279
105	0.4656883841
106	0.4655905944
107	0.4655100628
108	0.4654346573
109	0.4654022016
110	0.4653673697
111	0.465346808
112	0.4653251778
113	0.46529151
114	0.465260516
115	0.465235373
116	0.4651695349
117	0.4651344949
118	0.4651026873
119	0.4650356564
120	0.4649435501
121	0.4648792238
122	0.4648413938
123	0.464798994
124	0.4647782295
125	0.4647515791
126	0.4647077443
127	0.4646836576
128	0.4646508645
129	0.4646263988
130	0.4645590001
131	0.4644968547
132	0.464422078
133	0.4643970674
134	0.4643606933
135	0.4643249241
136	0.4642906024
137	0.4642508044
138	0.4642037478
139	0.4641750361
140	0.4641575294
141	0.4641213957
142	0.4640701101
143	0.4640574085
144	0.4640305249
145	0.46399591
146	0.4639756715
147	0.4639573492
148	0.4639370988
149	0.4639152164
150	0.4638847032
151	0.4638379728
152	0.4638171221
153	0.4637918593
154	0.4637386146
155	0.4636785072
156	0.4636684102
157	0.4635974948
158	0.4635475559
159	0.4635236307
160	0.4634745739
161	0.4634553332
162	0.4634070963
163	0.4633854625
164	0.4633573915
165	0.4633182581
166	0.4632877932
167	0.463266706
168	0.4632384282
169	0.4631939406
170	0.4631793396
171	0.4631602481
172	0.4631364815
173	0.4631153921
174	0.4630953765
175	0.4628725341
176	0.4628511954
177	0.46283101
178	0.4628105139
179	0.4627685665
180	0.4627424217
181	0.4627178924
182	0.4626831548
183	0.4626630812
184	0.4626259991
185	0.4624228678
186	0.4623758688
187	0.4623643201
188	0.4623338987
189	0.4622738829
190	0.4622328417
191	0.4622129593
192	0.4621907166
193	0.4621530341
194	0.462122491
195	0.4619377915
196	0.4618563744
197	0.4616884767
198	0.4616444013
